anno;Ente;tipologia;erogazione borse di studio per convenzione;organizzazione eventi in convenzione;pubblicazioni di volumi in convenzione;durata in mesi/anni dell'accordo;altri enti contraenti e partecipanti alla convenzione
2025;Centre des Rhétoriques Religieuses de l’Antiquité » (CARRA);Convenzione per attività di ricerca e di studio ;0;0;0;3 anni (dal 2025);
2025; Archéologie et Histoire Ancienne : Méditerranée-Europe » (ArcHiMèdE);Convenzione per attività di ricerca e di studio;0;0;0;3 anni (dal 2025);
2025;Scuola Normale Superiore Pisa;Convenzione per attività di ricerca e studio;0;0;0;5 anni (dal 2023);
2025;MISHA Université de Strasbourg Francia;Convenzione per attività di ricerca e studio;0;0;0;3 anni (dal 2023);
2025;International Digital Epigraphy Association (IDEA);Convenzione per attività di ricerca e studio;0;0;0;3 anni dal (2023);
2024;Scuola Normale Superiore Pisa;Convenzione per attività di ricerca e di studio;1;0;0;5 anni (dal 2023);
2024;MISHA Université de Strasbourg Francia;Convenzione per attività di ricerca e di studio;0;0;0;3 anni (dal 2023);
2024;Direzione generale educazione ricerca e istituti culturali Ministero della cultura;Convenzione per attività di ricerca e di studio;0;0;0;3 anni (dal 2023);
2024;International Digital Epigraphy Association (IDEA);Convenzione per attività di ricerca e di studio;2;0;0;3 anni (dal 2023);
2023;Scuola Normale Superiore Pisa;Convenzione per attività di ricerca e di studio;1;0;2;5 anni (dal 2023);
2023;Istituto Comprensivo Alfieri Lante Della Rovere Roma;Convenzione per progetto di studio con le scuole;0;1;0;6 mesi;1 (DG-ERIC Ministero cultura
2023;International Digital Epigraphy Association (IDEA);Convenzione per attività di ricerca e di studio;4;0;0;3 anni (dal 2023);
2023;MISHA Université de Strasbourg Francia;Convenzione per attività di ricerca e di studio;0;0;0;3 anni (dal 2023);
2023;Direzione generale educazione ricerca e istituti culturali Ministero della cultura;Convenzione per attività di ricerca e di studio;0;0;0;3 anni (dal 2023);
