anno;soggetto erogante;causale;contributo in Euro
2018;Ministero per i beni e le attività culturali;Art. 1 L. 534/1996 (Tabella triennale 2018-2020);81.998,00
2018;Regione Lazio;Determinazione G14853 del 20/11/2018 (sostegno funzionamento Istituti culturali regionali iscritti all’Albo per il triennio 2017-2019);3.683,99
2018;Regione Lazio;Determinazione G13347 del 23/10/2018 (iniziative culturali degli Istituti culturali regionali iscritti all’Albo per il triennio 2017-2019);6.000,00
2019;Ministero per i beni e le attività culturali;Art. 1 L. 534/1996 (Tabella triennale 2018-2020);81.998,00
2019;Regione Lazio;Determinazione G12227 del 16/09/2019 (sostegno funzionamento Istituti culturali regionali iscritti all’Albo per il triennio 2017-2019);      2.377, 25
2020;Ministero per i beni e le attività culturali;Art. 1 L. 534/1996 (Tabella triennale 2018-2020);106.080, 49
2020;Regione Lazio;Determinazione G10379 del 10/09/2020 (sostegno funzionamento Istituti culturali regionali iscritti all’Albo per il triennio 2020-2022);2.072,53
2020;Regione Lazio;Determinazione G11178 del 1/10/2018 (iniziative culturali degli Istituti culturali regionali iscritti all’Albo per il triennio 2020-2022);8.000,00
2021;Ministero della cultura;Art. 1 L. 534/1996 (Tabella triennale 2021-2023);150.998,00
2021;Regione Lazio;Determinazione G05045 del 12/11/2021 (sostegno funzionamento Istituti culturali regionali iscritti all’Albo anno 2021);3.708,39
2022;Ministero della cultura;Art. 1 L. 534/1996 (Tabella triennale 2021-2023);198.741,30
2022;Ministero della cultura;Art. 1 L. 534/1996 (Tabella triennale 2021-2023) – contributo straordinario resti anno 2021;39.634,00
2022;Regione Lazio;sostegno funzionamento Istituti culturali regionali iscritti all’Albo anno 2022);3.396,84
2023;Ministero della Cultura;Art. 1 L. 534/1996 (Tabella triennale 2021-2023) – anno 2023;198.739,30
2024;Ministero della cultura;Art. 1 L. 534/1996 (Tabella triennale 2024-2026) – anno 2024;197.000,00
2025;Ministero della cultura;Art. 1 L. 534/1996 (Tabella triennale 2024-2026) - anno 2025;187.140,00
2025;DL 201 del 27 dicembre 2024;Art. 5 comma 1, punto B;299.996,00
