Anno;tipologia;numero delle borse di studio da erogare;importo complessivo delle borse da erogare espresso in euro;modalità di assegnazione;numero candidati alle borse;numero di borse effettivamente erogate;durata della borsa;età massima dei candidati per la presentazione della domanda
2014;borse di studio post-dottorali;2;12000;bando di concorso pubblico;37;2;annuale;n/a
2016;borse di studio post-dottorali;3;15000;bando di concorso pubblico;36;3;annuale;n/a
2017;borse di studio post-dottorali;3;15000;bando di concorso pubblico;21;3;annuale;35
2019;borse di studio post-dottorali;3;15000;bando di concorso pubblico;15;3;annuale;35
2020;borsa di studio per laureati con laurea magistrale o equipollente;1;3000;bando di concorso pubblico;12;1;trimestrale;n/a
2020;borsa di studio per laureati con laurea magistrale o equipollente;2;7000;bando di concorso pubblico;14;2;quadrimestrale;n/a
2020;borse di studio post-dottorali;3;15000;bando di concorso pubblico;8;3;annuale;35
2021;borsa di studio per laureati con laurea magistrale o equipollente;2;7000;bando di concorso pubblico;10;2;quadrimestrale;n/a
2021;borse di studio post-dottorali;1;5000;bando di concorso pubblico;2;1;annuale;38
2021;borse di studio post-dottorali;1;5000;bando di concorso pubblico;2;1;annuale;38
2021;borsa di studio per laureati con laurea magistrale o equipollente;4;14000;bando di concorso pubblico;7;4;cinque mesi;30
2022;borse di studio post-dottorali;4;20000;bando di concorso pubblico;6;4;annuale;35
2022;borsa di studio per laureati con laurea magistrale o equipollente;2;7000;bando di concorso pubblico;7;2;cinque mesi;35
2022;borse di studio post-dottorali;4;20000;bando di concorso pubblico;11;4;annuale;n/a
2023;borsa di studio per laureati con laurea magistrale o equipollente;2;7000;bando di concorso pubblico;11;2;cinque mesi;n/a
2023;borse di studio post-dottorali;5;60000;bando di concorso pubblico;7;5;annuale;45
2023;borse di studio post-dottorali;5;70000;bando di concorso pubblico;4;2;annuale;45
2023;borsa di studio per laureati con laurea magistrale o equipollente;2;7000;bando di concorso pubblico;12;2;cinque mesi;n/a
2024;borse di studio post-dottorali;2;17000;bando di concorso pubblico;7;2;semestrale;45
2024;borsa di studio per laureati con laurea magistrale o equipollente;1;3000;bando di concorso pubblico;7;1;semestrale;30
2024;borse di studio post-dottorali;3;25500;bando di concorso pubblico;15;3;semestrale;45
2024;borsa di studio per laureati con laurea magistrale o equipollente;1;3000;bando di concorso pubblico;8;1;semestrale;30
2025;borse di studio post-dottorali;3;20000;bando di concorso pubblico;n/a;3;annuale;45
2025;borse di studio post-dottorali;3;20000;bando di concorso pubblico;n/a;3;annuale;45
2025;borsa di studio per laureati con laurea magistrale o equipollente;1;4000;bando di concorso pubblico;n/a;1;semestrale;30
