Anno;monografie;Atti convegni;volumi miscellanei;edizioni critiche di fonti;formato cartaceo;formato digitale;casa editrice italiana;casa editrice estera;pubblicazione in lingua italiana;pubblicazione in lingua inglese;pubblicazione in altre lingue;pubblicazione in volume multilingue
2025;1;0;0;0;1;0;1;0;1;0;0;0
2025;1;0;0;0;1;0;1;0;1;0;0;0
2025;1;0;0;1;1;0;1;0;1;0;0;0
2024;0;2;1;0;3;0;3;0;2;0;0;1
2023;0;1;1;1;3;0;3;0;2;0;0;1
2022;1;0;1;1;3;0;3;0;2;0;0;1
2021;1;1;0;0;2;0;2;0;1;0;0;1
2020;1;0;0;0;1;0;1;0;1;0;0;0
2019;0;1;0;0;1;0;1;0;0;0;0;1
2018;0;1;0;0;1;0;1;0;0;0;0;1
